league,season,team,player,nationality,position,age,birth_year,90s,goals,shots,shots_on_target,shot_accuracy,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,free_kick_shots,penalty_kicks_made,penalty_kicks_attempted,expected_goals,expected_goals_non_penalty,expected_goals_per_shot_non_penalty,goals_minus_expected,non_penalty_goals_minus_expected
ENG-Premier League,2425,Arsenal,Bukayo Saka,,,22.0,2001.0,19.2,6,66,22,33.3,3.44,1.15,0.08,0.23,15.6,1,1,1,6.8,6.0,0.09,-0.8,-1.0
ENG-Premier League,2425,Arsenal,David Raya,,,28.0,1995.0,38.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0
ENG-Premier League,2425,Arsenal,Declan Rice,,,25.0,1999.0,31.4,4,48,14,29.2,1.53,0.45,0.08,0.29,19.6,2,0,0,3.5,3.5,0.07,0.5,0.5
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,,,17.0,2007.0,9.9,4,24,9,37.5,2.41,0.91,0.17,0.44,18.5,1,0,0,1.2,1.2,0.05,2.8,2.8
ENG-Premier League,2425,Arsenal,Gabriel Jesus,,,27.0,1997.0,6.8,3,20,7,35.0,2.96,1.04,0.15,0.43,11.1,0,0,0,3.0,3.0,0.15,0.0,0.0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,,,26.0,1997.0,26.3,3,22,5,22.7,0.84,0.19,0.14,0.6,9.5,0,0,0,2.6,2.6,0.12,0.4,0.4
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,,,23.0,2001.0,25.4,8,55,24,43.6,2.16,0.94,0.15,0.33,12.9,0,0,0,7.4,7.4,0.14,0.6,0.6
ENG-Premier League,2425,Arsenal,Jakub Kiwior,,,24.0,2000.0,12.5,1,3,1,33.3,0.24,0.08,0.33,1.0,18.5,0,0,0,0.2,0.2,0.06,0.8,0.8
ENG-Premier League,2425,Arsenal,Jorginho,,,32.0,1991.0,7.8,0,2,0,0.0,0.26,0.0,0.0,,23.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1
ENG-Premier League,2425,Arsenal,Jurriën Timber,,,23.0,2001.0,26.9,1,14,4,28.6,0.52,0.15,0.07,0.25,14.1,0,0,0,1.2,1.2,0.09,-0.2,-0.2
