league,season,team,player,nationality,position,age,birth_year,matches_played,starts,minutes,nineties,goals,assists,goals_assists,goals_non_penalty,penalties_made,penalties_attempted,yellow_cards,red_cards,expected_goals,expected_goals_non_penalty,expected_assists,expected_goals_assists_non_penalty,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_assists_per_90,goals_non_penalty_per_90,goals_assists_non_penalty_per_90,expected_goals_per_90,expected_assists_per_90,expected_goals_assists_per_90,expected_goals_non_penalty_per_90,expected_goals_assists_non_penalty_per_90
ENG-Premier League,2425,Arsenal,Ben White,ENG,Defender,26.0,1997.0,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.5,0.5,1.4,1.8,23,59,42,0.0,0.15,0.15,0.0,0.15,0.03,0.1,0.14,0.03,0.14
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,Forward/Midfielder,22.0,2001.0,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6.0,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71
ENG-Premier League,2425,Arsenal,David Raya,ESP,Goalkeeper,28.0,1995.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,Midfielder,25.0,1999.0,35,33,2825,31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,Forward/Midfielder,17.0,2007.0,26,11,895,9.9,4,2,6,4,0,0,1,0,1.2,1.2,1.2,2.4,46,33,113,0.4,0.2,0.6,0.4,0.6,0.12,0.12,0.24,0.12,0.24
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,Forward,27.0,1997.0,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,Defender,26.0,1997.0,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,Forward/Midfielder,23.0,2001.0,33,25,2290,25.4,8,4,12,8,0,0,1,0,7.4,7.4,5.0,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,Defender,24.0,2000.0,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,5,48,1,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04
ENG-Premier League,2425,Arsenal,Jorginho,ITA,Midfielder,32.0,1991.0,15,9,704,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,Defender,23.0,2001.0,30,27,2417,26.9,1,3,4,1,0,0,7,0,1.2,1.2,0.8,2.1,57,146,104,0.04,0.11,0.15,0.04,0.15,0.05,0.03,0.08,0.05,0.08
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,Forward/Midfielder,25.0,1999.0,23,21,1875,20.8,9,3,12,9,0,0,5,0,9.5,9.5,2.4,12.0,35,61,113,0.43,0.14,0.58,0.43,0.58,0.46,0.12,0.57,0.46,0.57
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,Defender/Forward,27.0,1997.0,13,2,259,2.9,1,0,1,1,0,0,0,0,0.4,0.4,1.4,1.7,8,15,29,0.35,0.0,0.35,0.35,0.35,0.12,0.48,0.6,0.12,0.6
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,Forward,29.0,1994.0,38,28,2546,28.3,8,7,15,8,0,0,4,1,7.2,7.2,6.1,13.3,80,101,226,0.28,0.25,0.53,0.28,0.53,0.25,0.22,0.47,0.25,0.47
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,Midfielder,25.0,1998.0,30,26,2325,25.8,3,8,11,2,1,1,4,0,4.8,4.0,5.4,9.5,92,258,154,0.12,0.31,0.43,0.08,0.39,0.19,0.21,0.4,0.16,0.37
ENG-Premier League,2425,Arsenal,Mikel Merino,ESP,Midfielder/Forward,28.0,1996.0,28,17,1586,17.6,7,2,9,7,0,0,4,1,5.9,5.9,2.0,7.9,11,69,94,0.4,0.11,0.51,0.4,0.51,0.34,0.11,0.45,0.34,0.45
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,ENG,Defender,17.0,2006.0,23,15,1369,15.2,1,0,1,1,0,0,3,2,0.2,0.2,0.4,0.6,37,71,37,0.07,0.0,0.07,0.07,0.07,0.01,0.03,0.04,0.01,0.04
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,ENG,Forward,21.0,2003.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.94,0.0,0.94,0.94,0.94
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,UKR,Defender/Midfielder,27.0,1996.0,15,5,527,5.9,0,1,1,0,0,0,1,0,0.6,0.6,0.2,0.8,10,48,14,0.0,0.17,0.17,0.0,0.17,0.11,0.03,0.14,0.11,0.14
ENG-Premier League,2425,Arsenal,Raheem Sterling,ENG,Forward/Midfielder,29.0,1994.0,17,7,499,5.5,0,2,2,0,0,0,1,0,1.4,1.4,0.5,1.9,27,18,79,0.0,0.36,0.36,0.0,0.36,0.26,0.09,0.34,0.26,0.34
ENG-Premier League,2425,Arsenal,Reiss Nelson,ENG,Forward,24.0,1999.0,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,ITA,Defender,22.0,2002.0,19,11,983,10.9,2,1,3,2,0,0,4,0,0.9,0.9,0.3,1.1,22,54,29,0.18,0.09,0.27,0.18,0.27,0.08,0.03,0.11,0.08,0.11
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,JPN,Defender,25.0,1998.0,1,0,7,0.1,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,1,0,0.0,0.0,0.0,0.0,0.0,2.37,0.0,2.37,2.37,2.37
ENG-Premier League,2425,Arsenal,Thomas Partey,GHA,Midfielder/Defender,31.0,1993.0,35,31,2797,31.1,4,2,6,4,0,0,4,0,2.3,2.3,2.1,4.3,36,185,48,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14
ENG-Premier League,2425,Arsenal,William Saliba,FRA,Defender,23.0,2001.0,35,35,3039,33.8,2,0,2,2,0,0,2,1,2.3,2.3,0.9,3.1,16,138,6,0.06,0.0,0.06,0.06,0.06,0.07,0.03,0.09,0.07,0.09
ENG-Premier League,2425,Aston Villa,Amadou Onana,BEL,Midfielder,22.0,2001.0,26,20,1617,18.0,3,0,3,3,0,0,4,0,2.1,2.1,0.7,2.8,29,75,16,0.17,0.0,0.17,0.17,0.17,0.12,0.04,0.16,0.12,0.16
ENG-Premier League,2425,Aston Villa,Andrés García,ESP,Defender/Midfielder,21.0,2003.0,7,5,318,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,26,15,28,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06
ENG-Premier League,2425,Aston Villa,Axel Disasi,FRA,Defender,26.0,1998.0,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,10,16,5,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.09,0.02,0.09
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,FRA,Midfielder,24.0,1999.0,26,20,1726,19.2,1,0,1,1,0,0,2,0,0.8,0.8,0.9,1.7,19,85,7,0.05,0.0,0.05,0.05,0.05,0.04,0.05,0.09,0.04,0.09
ENG-Premier League,2425,Aston Villa,Diego Carlos,BRA,Defender,31.0,1993.0,10,8,830,9.2,0,0,0,0,0,0,1,0,0.6,0.6,0.0,0.6,3,34,0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.07,0.07,0.07
ENG-Premier League,2425,Aston Villa,Donyell Malen,NED,Forward,25.0,1999.0,14,2,305,3.4,3,0,3,3,0,0,0,0,2.2,2.2,0.2,2.4,12,6,30,0.89,0.0,0.89,0.89,0.89,0.64,0.05,0.69,0.64,0.69
