league,season,team,player,nationality,position,age,birth_year,90s,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third,challenge_tackles,challenges_attempted,tackle_success_rate,challenges_lost,blocks,shots_blocked,passes_blocked,interceptions,tackles_plus_interceptions,clearances,errors
ENG-Premier League,2425,Arsenal,Bukayo Saka,,,22.0,2001.0,19.2,29,15,9,11,9,13,24,54.2,11,22,0,22,3,32,8,0
ENG-Premier League,2425,Arsenal,David Raya,,,28.0,1995.0,38.0,0,0,0,0,0,0,2,0.0,2,0,0,0,2,2,21,9
ENG-Premier League,2425,Arsenal,Declan Rice,,,25.0,1999.0,31.4,53,25,22,25,6,17,41,41.5,24,27,13,14,25,78,51,0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,,,17.0,2007.0,9.9,11,7,4,4,3,7,21,33.3,14,8,2,6,2,13,4,1
ENG-Premier League,2425,Arsenal,Gabriel Jesus,,,27.0,1997.0,6.8,10,6,4,3,3,4,9,44.4,5,10,1,9,4,14,8,0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,,,26.0,1997.0,26.3,25,15,12,8,5,12,16,75.0,4,42,29,13,16,41,93,2
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,,,23.0,2001.0,25.4,23,15,9,6,8,7,23,30.4,16,15,0,15,5,28,19,0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,,,24.0,2000.0,12.5,22,8,13,7,2,11,15,73.3,4,13,8,5,6,28,58,3
ENG-Premier League,2425,Arsenal,Jorginho,,,32.0,1991.0,7.8,12,4,1,7,4,8,20,40.0,12,3,0,3,7,19,2,2
ENG-Premier League,2425,Arsenal,Jurriën Timber,,,23.0,2001.0,26.9,58,38,17,30,11,18,27,66.7,9,19,4,15,22,80,44,1
ENG-Premier League,2425,Arsenal,Kai Havertz,,,25.0,1999.0,20.8,16,9,3,6,7,4,15,26.7,11,23,4,19,6,22,33,1
ENG-Premier League,2425,Arsenal,Kieran Tierney,,,27.0,1997.0,2.9,7,5,4,1,2,4,6,66.7,2,0,0,0,3,10,9,0
ENG-Premier League,2425,Arsenal,Leandro Trossard,,,29.0,1994.0,28.3,31,20,6,16,9,12,34,35.3,22,32,0,32,9,40,18,0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,,,25.0,1998.0,25.8,19,11,9,7,3,4,25,16.0,21,5,0,5,6,25,6,1
ENG-Premier League,2425,Arsenal,Mikel Merino,,,28.0,1996.0,17.6,46,28,7,26,13,20,36,55.6,16,18,5,13,15,61,26,2
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,,,17.0,2006.0,15.2,22,14,10,9,3,10,11,90.9,1,4,1,3,7,29,27,0
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,,,21.0,2003.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
ENG-Premier League,2425,Arsenal,Oleksandr Zinchenko,,,27.0,1996.0,5.9,6,1,1,3,2,3,8,37.5,5,8,1,7,5,11,10,0
ENG-Premier League,2425,Arsenal,Raheem Sterling,,,29.0,1994.0,5.5,9,4,1,3,5,5,10,50.0,5,3,0,3,1,10,4,0
ENG-Premier League,2425,Arsenal,Reiss Nelson,,,24.0,1999.0,0.0,1,0,0,1,0,0,1,0.0,1,0,0,0,0,1,1,0
ENG-Premier League,2425,Arsenal,Riccardo Calafiori,,,22.0,2002.0,10.9,27,19,15,10,2,18,29,62.1,11,12,6,6,9,36,25,0
ENG-Premier League,2425,Arsenal,Takehiro Tomiyasu,,,25.0,1998.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0
ENG-Premier League,2425,Arsenal,Thomas Partey,,,31.0,1993.0,31.1,89,53,26,39,24,46,76,60.5,30,29,9,20,35,124,49,4
ENG-Premier League,2425,Arsenal,William Saliba,,,23.0,2001.0,33.8,62,37,37,23,2,21,28,75.0,7,25,15,10,21,83,119,7
ENG-Premier League,2425,Aston Villa,Amadou Onana,,,22.0,2001.0,18.0,55,30,23,26,6,16,29,55.2,13,16,7,9,26,81,41,3
ENG-Premier League,2425,Aston Villa,Andrés García,,,21.0,2003.0,3.5,9,5,5,3,1,4,8,50.0,4,2,0,2,2,11,10,2
ENG-Premier League,2425,Aston Villa,Axel Disasi,,,26.0,1998.0,5.4,8,5,7,1,0,3,7,42.9,4,4,1,3,5,13,18,0
ENG-Premier League,2425,Aston Villa,Boubacar Kamara,,,24.0,1999.0,19.2,50,21,28,18,4,29,56,51.8,27,19,7,12,19,69,51,3
ENG-Premier League,2425,Aston Villa,Diego Carlos,,,31.0,1993.0,9.2,8,3,6,1,1,4,6,66.7,2,13,7,6,5,13,36,2
ENG-Premier League,2425,Aston Villa,Donyell Malen,,,25.0,1999.0,3.4,7,4,3,3,1,1,4,25.0,3,2,0,2,0,7,1,0
ENG-Premier League,2425,Aston Villa,Emi Buendía,,,27.0,1996.0,1.1,6,6,3,2,1,0,5,0.0,5,5,1,4,0,6,2,0
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,,,31.0,1992.0,35.5,3,3,3,0,0,2,2,100.0,0,1,0,1,0,3,17,6
ENG-Premier League,2425,Aston Villa,Ezri Konsa,,,26.0,1997.0,32.6,34,18,20,10,4,20,25,80.0,5,20,11,9,24,58,114,4
ENG-Premier League,2425,Aston Villa,Ian Maatsen,,,22.0,2002.0,12.7,29,17,17,9,3,17,24,70.8,7,13,0,13,15,44,39,3
ENG-Premier League,2425,Aston Villa,Jacob Ramsey,,,23.0,2001.0,18.0,30,15,14,10,6,10,20,50.0,10,23,4,19,8,38,8,1
ENG-Premier League,2425,Aston Villa,Jaden Philogene Bidace,,,22.0,2002.0,3.7,11,5,4,7,0,4,6,66.7,2,5,0,5,3,14,2,1
ENG-Premier League,2425,Aston Villa,John McGinn,,,29.0,1994.0,24.7,33,24,10,14,9,13,31,41.9,18,22,2,20,14,47,18,3
ENG-Premier League,2425,Aston Villa,Jáder Durán,,,20.0,2003.0,7.1,8,7,1,2,5,1,4,25.0,3,5,0,5,0,8,13,0
ENG-Premier League,2425,Aston Villa,Kosta Nedeljković,,,18.0,2005.0,1.4,7,5,1,3,3,2,3,66.7,1,1,0,1,0,7,3,0
ENG-Premier League,2425,Aston Villa,Lamare Bogarde,,,20.0,2004.0,5.3,14,6,6,6,2,10,16,62.5,6,5,3,2,1,15,13,0
ENG-Premier League,2425,Aston Villa,Leon Bailey,,,26.0,1997.0,12.7,7,5,2,3,2,3,11,27.3,8,6,0,6,3,10,12,0
ENG-Premier League,2425,Aston Villa,Lucas Digne,,,31.0,1993.0,26.1,65,38,40,16,9,44,66,66.7,22,23,4,19,25,90,89,1
ENG-Premier League,2425,Aston Villa,Marco Asensio,,,28.0,1996.0,8.3,7,5,0,7,0,3,9,33.3,6,7,1,6,2,9,3,0
ENG-Premier League,2425,Aston Villa,Marcus Rashford,,,26.0,1997.0,4.9,10,7,2,3,5,4,6,66.7,2,2,0,2,1,11,3,0
ENG-Premier League,2425,Aston Villa,Matty Cash,,,26.0,1997.0,23.0,56,32,29,21,6,31,43,72.1,12,22,8,14,23,79,70,2
ENG-Premier League,2425,Aston Villa,Morgan Rogers,,,22.0,2002.0,34.6,43,22,15,15,13,24,47,51.1,23,26,7,19,6,49,20,2
ENG-Premier League,2425,Aston Villa,Ollie Watkins,,,28.0,1995.0,28.9,10,7,0,6,4,3,11,27.3,8,11,3,8,8,18,15,2
ENG-Premier League,2425,Aston Villa,Pau Torres,,,27.0,1997.0,22.4,21,15,11,8,2,10,17,58.8,7,16,11,5,10,31,75,2
ENG-Premier League,2425,Aston Villa,Robin Olsen,,,34.0,1990.0,2.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,2,1
ENG-Premier League,2425,Aston Villa,Ross Barkley,,,30.0,1993.0,6.5,14,3,4,10,0,9,14,64.3,5,9,3,6,10,24,5,0
ENG-Premier League,2425,Aston Villa,Tyrone Mings,,,31.0,1993.0,12.4,7,6,6,1,0,2,2,100.0,0,13,11,2,7,14,61,1
ENG-Premier League,2425,Aston Villa,Youri Tielemans,,,27.0,1997.0,33.6,84,58,32,44,8,40,73,54.8,33,38,16,22,23,107,47,4
ENG-Premier League,2425,Bournemouth,Adam Smith,,,33.0,1991.0,17.7,24,12,11,7,6,14,27,51.9,13,13,5,8,15,39,49,1
