league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_starts,playing_time_min,90s,performance_ga,performance_ga90,performance_sota,performance_saves,performance_save_pct,performance_w,performance_d,performance_l,performance_cs,performance_cs_pct,penalty_kicks_pkatt,penalty_kicks_pka,penalty_kicks_pksv,penalty_kicks_pkm,penalty_kicks_save_pct,nation_adv,pos_adv,age_adv,born_adv,90s_adv,goals_ga,goals_pka,goals_fk,goals_ck,goals_og,expected_psxg,expected_psxg_per_sot,expected_psxg+_per_-,expected__per_90,launched_cmp,launched_att,launched_cmp_pct,passes_att_(gk),passes_thr,passes_launch_pct,passes_avglen,goal_kicks_att,goal_kicks_launch_pct,goal_kicks_avglen,crosses_opp,crosses_stp,crosses_stp_pct,sweeper_#opa,sweeper_#opa_per_90,sweeper_avgdist
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,,,31,1992,37,37,3194,35.5,45,1.27,142,96,69.0,18,9,10,8,21.6,2,1,1,0,50.0,,,31,1992,35.5,45,1,1,2,0,45.8,0.32,0.8,0.02,162,420,38.6,1208,132,26.3,30.4,172,59.3,46.3,498,56,11.2,35,0.99,13.7
ENG-Premier League,2425,Aston Villa,Robin Olsen,,,34,1990,4,1,226,2.5,6,2.39,14,8,64.3,1,0,0,1,100.0,1,1,0,0,0.0,,,34,1990,2.5,6,1,0,0,0,6.3,0.4,0.3,0.12,19,54,35.2,75,1,42.7,35.9,26,84.6,60.0,40,3,7.5,0,0.0,8.6
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,,,29,1994,31,31,2790,31.0,39,1.26,134,95,73.9,13,7,11,8,25.8,4,4,0,0,0.0,,,29,1994,31.0,39,4,0,4,0,41.0,0.28,2.0,0.07,132,365,36.2,831,122,33.2,32.9,192,46.4,38.7,367,22,6.0,54,1.74,16.0
ENG-Premier League,2425,Bournemouth,Mark Travers,,,25,1999,5,5,450,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,,,25,1999,5.0,5,0,1,1,0,9.5,0.38,4.5,0.89,33,73,45.2,103,29,41.7,36.3,39,76.9,55.8,63,1,1.6,5,1.0,12.9
ENG-Premier League,2425,Bournemouth,Neto,,,35,1989,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,,,,35,1989,2.0,2,0,0,0,0,4.3,0.35,2.3,1.17,9,27,33.3,46,7,43.5,36.8,15,46.7,38.9,30,2,6.7,3,1.5,12.6
ENG-Premier League,2425,Brentford,Hákon Rafn Valdimarsson,,,22,2001,2,1,145,1.6,2,1.24,4,3,50.0,0,0,1,1,100.0,0,0,0,0,,,,22,2001,1.6,2,0,0,0,1,0.6,0.14,-0.4,-0.26,15,38,39.5,54,7,42.6,34.9,16,93.8,59.3,16,2,12.5,0,0.0,4.7
ENG-Premier League,2425,Brentford,Mark Flekken,,,31,1993,37,37,3275,36.4,55,1.51,203,150,73.4,16,8,13,7,18.9,1,1,0,0,0.0,,,31,1993,36.4,55,1,0,2,2,52.7,0.26,-0.3,-0.01,249,659,37.8,1498,122,33.7,34.4,212,72.6,54.8,581,46,7.9,34,0.93,11.5
ENG-Premier League,2425,Brighton,Bart Verbruggen,,,21,2002,36,36,3240,36.0,58,1.61,143,87,65.7,14,13,9,7,19.4,9,9,0,0,0.0,,,21,2002,36.0,58,9,1,4,2,51.0,0.31,-5.0,-0.14,122,386,31.6,1226,122,26.9,29.7,83,67.5,48.5,414,27,6.5,47,1.31,13.9
ENG-Premier League,2425,Brighton,Jason Steele,,,33,1990,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,,,33,1990,2.0,1,0,0,0,0,0.5,0.12,-0.5,-0.26,7,16,43.8,110,7,13.6,25.1,2,50.0,43.0,22,2,9.1,3,1.5,15.4
ENG-Premier League,2425,Chelsea,Filip Jørgensen,,,22,2002,6,6,540,6.0,9,1.5,28,19,71.4,3,0,3,1,16.7,1,1,0,0,0.0,,,22,2002,6.0,9,1,0,1,0,9.3,0.3,0.3,0.04,7,33,21.2,171,19,18.1,24.1,18,11.1,17.5,53,2,3.8,2,0.33,13.2
ENG-Premier League,2425,Chelsea,Robert Sánchez,,,26,1997,32,32,2880,32.0,34,1.06,127,92,76.4,17,9,6,10,31.3,5,4,1,0,20.0,,,26,1997,32.0,34,4,0,4,0,35.7,0.25,1.7,0.05,98,424,23.1,1160,190,33.3,33.4,82,46.3,40.3,370,47,12.7,57,1.78,14.5
