league,season,team,player,nation,pos,age,born,90s,performance_crdy,performance_crdr,performance_2crdy,performance_fls,performance_fld,performance_off,performance_crs,performance_int,performance_tklw,performance_pkwon,performance_pkcon,performance_og,performance_recov,aerial_duels_won,aerial_duels_lost,aerial_duels_won_pct
ENG-Premier League,2425,Arsenal,Bukayo Saka,,,22.0,2001.0,19.2,3,0,0,15,39,7,117,3,15,1,0,0,70,10,20,33.3
ENG-Premier League,2425,Arsenal,David Raya,,,28.0,1995.0,38.0,3,0,0,1,10,0,0,2,0,0,1,0,41,13,0,100.0
ENG-Premier League,2425,Arsenal,Declan Rice,,,25.0,1999.0,31.4,7,1,1,21,16,2,164,25,25,0,0,0,156,37,25,59.7
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,,,17.0,2007.0,9.9,1,0,0,9,5,6,54,2,7,0,0,0,34,4,8,33.3
ENG-Premier League,2425,Arsenal,Gabriel Jesus,,,27.0,1997.0,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,,,26.0,1997.0,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,,,23.0,2001.0,25.4,1,0,0,16,21,8,92,5,15,0,0,0,78,17,39,30.4
ENG-Premier League,2425,Arsenal,Jakub Kiwior,,,24.0,2000.0,12.5,1,0,0,10,4,1,2,6,8,0,0,0,31,11,13,45.8
ENG-Premier League,2425,Arsenal,Jorginho,,,32.0,1991.0,7.8,5,0,0,15,17,0,1,7,4,0,0,0,55,1,6,14.3
ENG-Premier League,2425,Arsenal,Jurriën Timber,,,23.0,2001.0,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4
ENG-Premier League,2425,Arsenal,Kai Havertz,,,25.0,1999.0,20.8,5,0,0,38,23,14,11,6,9,0,0,0,41,63,78,44.7
ENG-Premier League,2425,Arsenal,Kieran Tierney,,,27.0,1997.0,2.9,0,0,0,1,2,2,14,3,5,0,0,0,6,5,5,50.0
