league,season,team,player,nation,pos,age,born,playing_time_mp,playing_time_min,playing_time_mn_per_mp,playing_time_min_pct,playing_time_90s,starts_starts,starts_mn_per_start,starts_compl,subs_subs,subs_mn_per_sub,subs_unsub,team_success_ppm,team_success_ong,team_success_onga,team_success_+_per_-,team_success_+_per_-90,team_success_on-off,team_success_(xg)_onxg,team_success_(xg)_onxga,team_success_(xg)_xg+_per_-,team_success_(xg)_xg+_per_-90,team_success_(xg)_on-off
ENG-Premier League,2425,Arsenal,Ayden Heaven,,,17.0,2006.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,,,26.0,1997.0,17,1198.0,70.0,35.0,13.3,13,86.0,10,4,19.0,3,1.47,20.0,13.0,7.0,0.53,-0.61,18.9,16.2,2.7,0.21,-0.71
ENG-Premier League,2425,Arsenal,Brayden Clarke,,,17.0,2007.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Bukayo Saka,,,22.0,2001.0,25,1729.0,69.0,50.6,19.2,20,79.0,7,5,32.0,0,1.96,38.0,21.0,17.0,0.88,-0.07,34.8,17.6,17.3,0.9,0.46
ENG-Premier League,2425,Arsenal,David Raya,,,28.0,1995.0,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.95,69.0,34.0,35.0,0.92,,59.9,34.4,25.5,0.67,
ENG-Premier League,2425,Arsenal,Declan Rice,,,25.0,1999.0,35,2825.0,81.0,82.6,31.4,33,84.0,23,2,23.0,1,1.91,56.0,28.0,28.0,0.89,-0.17,48.8,26.8,22.0,0.7,0.17
ENG-Premier League,2425,Arsenal,Eddie Nketiah,,,25.0,1999.0,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,,,17.0,2007.0,26,895.0,34.0,26.2,9.9,11,65.0,1,15,12.0,10,1.85,16.0,4.0,12.0,1.21,0.39,14.5,5.4,9.1,0.91,0.33
ENG-Premier League,2425,Arsenal,Gabriel Jesus,,,27.0,1997.0,17,608.0,36.0,17.8,6.8,6,81.0,2,11,11.0,1,1.94,15.0,5.0,10.0,1.48,0.68,11.4,5.7,5.7,0.85,0.21
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,,,26.0,1997.0,28,2363.0,84.0,69.1,26.3,28,84.0,25,0,,0,2.04,50.0,22.0,28.0,1.07,0.47,40.3,23.1,17.2,0.66,-0.05
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,,,23.0,2001.0,33,2290.0,69.0,67.0,25.4,25,81.0,10,8,33.0,2,1.94,45.0,25.0,20.0,0.79,-0.41,38.5,25.9,12.6,0.49,-0.54
ENG-Premier League,2425,Arsenal,Ismeal Kabia,,,18.0,2005.0,0,,,,,0,,0,0,,9,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jack Henry-Francis,,,20.0,2003.0,0,,,,,0,,0,0,,6,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jack Porter,,,16.0,2008.0,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jakub Kiwior,,,24.0,2000.0,17,1122.0,66.0,32.8,12.5,10,90.0,10,7,32.0,20,1.82,19.0,15.0,4.0,0.32,-0.89,20.7,13.8,6.9,0.55,-0.18
ENG-Premier League,2425,Arsenal,Jimi Gower,,,19.0,2004.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jorginho,,,32.0,1991.0,15,704.0,47.0,20.6,7.8,9,72.0,3,6,9.0,19,2.0,14.0,7.0,7.0,0.89,-0.03,13.5,6.0,7.5,0.97,0.37
ENG-Premier League,2425,Arsenal,Josh Nichols,,,18.0,2006.0,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jurriën Timber,,,23.0,2001.0,30,2417.0,81.0,70.7,26.9,27,87.0,18,3,25.0,2,2.0,52.0,21.0,31.0,1.15,0.8,42.3,21.3,21.0,0.78,0.38
ENG-Premier League,2425,Arsenal,Kai Havertz,,,25.0,1999.0,23,1875.0,82.0,54.8,20.8,21,88.0,18,2,18.0,1,2.13,40.0,20.0,20.0,0.96,0.09,34.2,19.3,14.9,0.72,0.1
ENG-Premier League,2425,Arsenal,Kieran Tierney,,,27.0,1997.0,13,259.0,20.0,7.6,2.9,2,62.0,0,11,12.0,13,2.08,3.0,1.0,2.0,0.69,-0.24,4.8,2.6,2.1,0.75,0.08
ENG-Premier League,2425,Arsenal,Leandro Trossard,,,29.0,1994.0,38,2546.0,67.0,74.4,28.3,28,82.0,14,10,25.0,0,1.95,53.0,26.0,27.0,0.95,0.13,44.5,24.2,20.3,0.72,0.19
ENG-Premier League,2425,Arsenal,Maldini Kacurri,,,18.0,2005.0,0,,,,,0,,0,0,,4,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Martin Ødegaard,,,25.0,1998.0,30,2325.0,78.0,68.0,25.8,26,86.0,14,4,23.0,0,2.0,50.0,21.0,29.0,1.12,0.63,41.1,21.7,19.4,0.75,0.25
ENG-Premier League,2425,Arsenal,Mikel Merino,,,28.0,1996.0,28,1586.0,57.0,46.4,17.6,17,83.0,11,11,16.0,0,1.79,28.0,17.0,11.0,0.62,-0.55,28.9,15.5,13.4,0.76,0.17
ENG-Premier League,2425,Arsenal,Myles Lewis-Skelly,,,17.0,2006.0,23,1369.0,60.0,40.0,15.2,15,80.0,7,8,20.0,9,1.96,26.0,16.0,10.0,0.66,-0.44,21.8,15.9,6.0,0.39,-0.47
ENG-Premier League,2425,Arsenal,Nathan Butler-Oyedeji,,,21.0,2003.0,1,7.0,7.0,0.2,0.1,0,,0,1,7.0,13,3.0,1.0,0.0,1.0,12.86,11.96,0.3,0.0,0.2,3.09,2.43
