league,season,team,player,nationality,position,age,birth_year,matches_played,starts,minutes,nineties,goals,assists,goals_assists,goals_non_penalty,penalties_made,penalties_attempted,yellow_cards,red_cards,expected_goals,expected_goals_non_penalty,expected_assists,expected_goals_assists_non_penalty,progressive_carries,progressive_passes,progressive_receives,goals_per_90,assists_per_90,goals_assists_per_90,goals_non_penalty_per_90,goals_assists_non_penalty_per_90,expected_goals_per_90,expected_assists_per_90,expected_goals_assists_per_90,expected_goals_non_penalty_per_90,expected_goals_assists_non_penalty_per_90,touches_touches,touches_def_pen,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen,touches_live,carries_carries,carries_totdist,carries_prgdist,tackles,tackles_won,tackles_def_third,tackles_mid_third,tackles_att_third
ENG-Premier League,2425,Arsenal,Ben White,ENG,Defender,26.0,1997.0,17,13,1198,13.3,0,2,2,0,0,0,2,0,0.5,0.5,1.4,1.8,23,59,42,0.0,0.15,0.15,0.0,0.15,0.03,0.1,0.14,0.03,0.14,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,Forward/Midfielder,22.0,2001.0,25,20,1729,19.2,6,10,16,5,1,1,3,0,6.8,6.0,7.6,13.7,96,70,255,0.31,0.52,0.83,0.26,0.78,0.36,0.4,0.75,0.31,0.71,979.0,6.0,57.0,216.0,715.0,162.0,978.0,628.0,4253.0,2460.0,29.0,15.0,9.0,11.0,9.0
ENG-Premier League,2425,Arsenal,David Raya,ESP,Goalkeeper,28.0,1995.0,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,14,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.0,880.0,1388.0,92.0,0.0,0.0,1480.0,921.0,4542.0,2729.0,0.0,0.0,0.0,0.0,0.0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,Midfielder,25.0,1999.0,35,33,2825,31.4,4,7,11,4,0,0,7,1,3.5,3.5,6.6,10.1,90,192,94,0.13,0.22,0.35,0.13,0.35,0.11,0.21,0.32,0.11,0.32,1948.0,82.0,325.0,909.0,733.0,81.0,1948.0,1031.0,6464.0,3394.0,53.0,25.0,22.0,25.0,6.0
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,Forward/Midfielder,17.0,2007.0,26,11,895,9.9,4,2,6,4,0,0,1,0,1.2,1.2,1.2,2.4,46,33,113,0.4,0.2,0.6,0.4,0.6,0.12,0.12,0.24,0.12,0.24,544.0,3.0,44.0,167.0,339.0,44.0,544.0,365.0,2852.0,1329.0,11.0,7.0,4.0,4.0,3.0
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,Forward,27.0,1997.0,17,6,608,6.8,3,0,3,3,0,0,4,0,3.0,3.0,0.7,3.7,15,19,57,0.44,0.0,0.44,0.44,0.44,0.44,0.1,0.54,0.44,0.54,299.0,9.0,28.0,108.0,165.0,48.0,299.0,179.0,953.0,432.0,10.0,6.0,4.0,3.0,3.0
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,Defender,26.0,1997.0,28,28,2363,26.3,3,1,4,3,0,0,4,0,2.6,2.6,0.9,3.5,10,126,11,0.11,0.04,0.15,0.11,0.15,0.1,0.03,0.13,0.1,0.13,1873.0,189.0,672.0,985.0,225.0,40.0,1873.0,1116.0,4470.0,2669.0,25.0,15.0,12.0,8.0,5.0
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,Forward/Midfielder,23.0,2001.0,33,25,2290,25.4,8,4,12,8,0,0,1,0,7.4,7.4,5.0,12.4,124,52,289,0.31,0.16,0.47,0.31,0.47,0.29,0.19,0.49,0.29,0.49,994.0,17.0,102.0,247.0,660.0,182.0,994.0,670.0,4985.0,2620.0,23.0,15.0,9.0,6.0,8.0
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,Defender,24.0,2000.0,17,10,1122,12.5,1,0,1,1,0,0,1,0,0.2,0.2,0.3,0.5,5,48,1,0.08,0.0,0.08,0.08,0.08,0.01,0.03,0.04,0.01,0.04,846.0,100.0,281.0,494.0,72.0,5.0,846.0,492.0,1988.0,1037.0,22.0,8.0,13.0,7.0,2.0
ENG-Premier League,2425,Arsenal,Jorginho,ITA,Midfielder,32.0,1991.0,15,9,704,7.8,0,0,0,0,0,0,5,0,0.1,0.1,0.4,0.5,12,48,6,0.0,0.0,0.0,0.0,0.0,0.01,0.05,0.06,0.01,0.06,522.0,9.0,93.0,304.0,131.0,3.0,522.0,302.0,1498.0,874.0,12.0,4.0,1.0,7.0,4.0
