,,,,nation,pos,age,born,90s,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,,,,,,,,,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
league,season,team,player,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26,1997,13.3,2,0,0,10,5,1,17,16,14,0,0,0,37,18,9,66.7
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,19.2,3,0,0,15,39,7,117,3,15,1,0,0,70,10,20,33.3
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38.0,3,0,0,1,10,0,0,2,0,0,1,0,41,13,0,100.0
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,1999,31.4,7,1,1,21,16,2,164,25,25,0,0,0,156,37,25,59.7
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,2007,9.9,1,0,0,9,5,6,54,2,7,0,0,0,34,4,8,33.3
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27,1997,6.8,4,0,0,14,10,9,7,4,6,0,0,0,28,9,18,33.3
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,26.3,4,0,0,19,19,0,9,16,15,1,0,0,63,53,37,58.9
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,25.4,1,0,0,16,21,8,92,5,15,0,0,0,78,17,39,30.4
ENG-Premier League,2425,Arsenal,Jakub Kiwior,POL,DF,24,2000,12.5,1,0,0,10,4,1,2,6,8,0,0,0,31,11,13,45.8
ENG-Premier League,2425,Arsenal,Jorginho,ITA,MF,32,1991,7.8,5,0,0,15,17,0,1,7,4,0,0,0,55,1,6,14.3
ENG-Premier League,2425,Arsenal,Jurriën Timber,NED,DF,23,2001,26.9,7,0,0,31,29,6,28,22,38,0,0,0,94,22,20,52.4
ENG-Premier League,2425,Arsenal,Kai Havertz,GER,"FW,MF",25,1999,20.8,5,0,0,38,23,14,11,6,9,0,0,0,41,63,78,44.7
ENG-Premier League,2425,Arsenal,Kieran Tierney,SCO,"DF,FW",27,1997,2.9,0,0,0,1,2,2,14,3,5,0,0,0,6,5,5,50.0
ENG-Premier League,2425,Arsenal,Leandro Trossard,BEL,FW,29,1994,28.3,4,1,1,27,46,6,86,9,20,0,0,0,104,6,24,20.0
ENG-Premier League,2425,Arsenal,Martin Ødegaard,NOR,MF,25,1998,25.8,4,0,0,12,23,1,86,6,11,0,0,0,97,8,7,53.3
