,,,,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
league,season,team,player,,,,,,,,,,,,,,,,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Aaron Ramsdale,ENG,GK,26,1998,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ayden Heaven,ENG,DF,17,2006,0,,,,,0,,0,0,,3,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ben White,ENG,DF,26,1997,17,1198,70,35.0,13.3,13,86,10,4,19,3,1.47,20,13,7,0.53,-0.61,18.9,16.2,2.7,0.21,-0.71
ENG-Premier League,2425,Arsenal,Brayden Clarke,WAL,DF,17,2007,0,,,,,0,,0,0,,1,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Bukayo Saka,ENG,"FW,MF",22,2001,25,1729,69,50.6,19.2,20,79,7,5,32,0,1.96,38,21,17,0.88,-0.07,34.8,17.6,17.3,0.9,0.46
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38,3420,90,100.0,38.0,38,90,38,0,,0,1.95,69,34,35,0.92,,59.9,34.4,25.5,0.67,
ENG-Premier League,2425,Arsenal,Declan Rice,ENG,MF,25,1999,35,2825,81,82.6,31.4,33,84,23,2,23,1,1.91,56,28,28,0.89,-0.17,48.8,26.8,22.0,0.7,0.17
ENG-Premier League,2425,Arsenal,Eddie Nketiah,ENG,FW,25,1999,0,,,,,0,,0,0,,2,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Ethan Nwaneri,ENG,"FW,MF",17,2007,26,895,34,26.2,9.9,11,65,1,15,12,10,1.85,16,4,12,1.21,0.39,14.5,5.4,9.1,0.91,0.33
ENG-Premier League,2425,Arsenal,Gabriel Jesus,BRA,FW,27,1997,17,608,36,17.8,6.8,6,81,2,11,11,1,1.94,15,5,10,1.48,0.68,11.4,5.7,5.7,0.85,0.21
ENG-Premier League,2425,Arsenal,Gabriel Magalhães,BRA,DF,26,1997,28,2363,84,69.1,26.3,28,84,25,0,,0,2.04,50,22,28,1.07,0.47,40.3,23.1,17.2,0.66,-0.05
ENG-Premier League,2425,Arsenal,Gabriel Martinelli,BRA,"FW,MF",23,2001,33,2290,69,67.0,25.4,25,81,10,8,33,2,1.94,45,25,20,0.79,-0.41,38.5,25.9,12.6,0.49,-0.54
ENG-Premier League,2425,Arsenal,Ismeal Kabia,ENG,MF,18,2005,0,,,,,0,,0,0,,9,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jack Henry-Francis,IRL,MF,20,2003,0,,,,,0,,0,0,,6,,,,,,,,,,,
ENG-Premier League,2425,Arsenal,Jack Porter,ENG,GK,16,2008,0,,,,,0,,0,0,,1,,,,,,,,,,,
